scenario,load,rep,seed,transport,emitted,accepted,persisted,loss_rate,lat_p50_ms,lat_p95_ms,lat_max_ms,click_of_sent,submit_of_click,elapsed_s
baixo,100,1,20262010,webhook,100,100,100,0.0,2.0,4.05,23.0,0.1045,0.5714,0.674
baixo,1000,1,20262910,webhook,1000,1000,1000,0.0,3.0,24.0,30.0,0.106,0.4925,14.221
baixo,10000,1,20271910,webhook,10000,10000,10000,0.0,4.0,25.0,38.0,0.1021,0.4544,150.331
base,100,1,20262010,webhook,100,100,100,0.0,4.0,26.0,32.0,0.1231,0.625,1.526
base,1000,1,20262910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.1689,0.51,16.246
base,10000,1,20271910,webhook,10000,10000,10000,0.0,4.0,25.0,46.0,0.1743,0.4629,151.77
alto,100,1,20262010,webhook,100,100,100,0.0,6.0,26.0,31.0,0.2745,0.4286,1.916
alto,1000,1,20262910,webhook,1000,1000,1000,0.0,4.0,25.0,33.0,0.306,0.4564,16.599
alto,10000,1,20271910,webhook,10000,10000,10000,0.0,4.0,25.0,41.0,0.2904,0.4689,152.358
baixo,10000,2,20272910,webhook,10000,10000,10000,0.0,4.0,26.0,44.0,0.097,0.4919,159.511
baixo,1000,2,20263910,webhook,1000,1000,1000,0.0,4.0,24.05,32.0,0.0896,0.4655,14.769
baixo,100,2,20263010,webhook,100,100,100,0.0,3.0,23.0,32.0,0.0794,0.6,1.271
base,10000,2,20272910,webhook,10000,10000,10000,0.0,4.0,24.0,32.0,0.1625,0.4816,141.871
base,1000,2,20263910,webhook,1000,1000,1000,0.0,3.0,25.0,31.0,0.1708,0.466,14.345
base,100,2,20263010,webhook,100,100,100,0.0,3.0,26.0,29.0,0.2034,0.4167,1.523
alto,10000,2,20272910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.2993,0.464,146.309
alto,1000,2,20263910,webhook,1000,1000,1000,0.0,4.0,26.0,32.0,0.3041,0.4698,15.349
alto,100,2,20263010,webhook,100,100,100,0.0,4.0,24.05,31.0,0.22,0.4545,1.407
baixo,100,3,20264010,webhook,100,100,100,0.0,4.0,28.0,31.0,0.0735,0.6,1.559
baixo,1000,3,20264910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.0926,0.4262,15.051
baixo,10000,3,20273910,webhook,10000,10000,10000,0.0,4.0,25.0,34.0,0.0995,0.4905,147.325
base,100,3,20264010,webhook,100,100,100,0.0,4.0,25.0,29.0,0.1774,0.4545,1.479
base,1000,3,20264910,webhook,1000,1000,1000,0.0,4.0,24.05,50.0,0.1596,0.4592,14.079
base,10000,3,20273910,webhook,10000,10000,10000,0.0,4.0,24.0,75.0,0.1632,0.468,136.543
alto,100,3,20264010,webhook,100,100,100,0.0,4.0,23.05,26.0,0.3636,0.4375,1.658
alto,1000,3,20264910,webhook,1000,1000,1000,0.0,4.0,26.0,39.0,0.3064,0.4595,16.104
alto,10000,3,20273910,webhook,10000,10000,10000,0.0,4.0,25.0,43.0,0.2952,0.4584,148.547
baixo,10000,4,20274910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.0953,0.4844,148.599
baixo,1000,4,20265910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.1086,0.5294,14.057
baixo,100,4,20265010,webhook,100,100,100,0.0,4.0,25.0,28.0,0.0758,0.6,1.637
base,10000,4,20274910,webhook,10000,10000,10000,0.0,4.0,25.0,65.0,0.1604,0.4943,145.879
base,1000,4,20265910,webhook,1000,1000,1000,0.0,4.0,25.0,32.0,0.177,0.5094,14.87
base,100,4,20265010,webhook,100,100,100,0.0,4.0,25.0,30.0,0.1429,0.4444,1.558
alto,10000,4,20274910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.3049,0.4707,151.82
alto,1000,4,20265910,webhook,1000,1000,1000,0.0,4.0,25.0,30.0,0.3018,0.5102,15.874
alto,100,4,20265010,webhook,100,100,100,0.0,4.0,23.0,27.0,0.2917,0.5714,1.408
baixo,100,5,20266010,webhook,100,100,100,0.0,3.0,24.0,30.0,0.125,0.125,1.33
baixo,1000,5,20266910,webhook,1000,1000,1000,0.0,4.0,25.05,34.0,0.0965,0.4762,15.456
baixo,10000,5,20275910,webhook,10000,10000,10000,0.0,4.0,25.0,33.0,0.0985,0.4833,152.033
base,100,5,20266010,webhook,100,100,100,0.0,3.0,24.05,28.0,0.283,0.5333,1.254
base,1000,5,20266910,webhook,1000,1000,1000,0.0,4.0,25.0,30.0,0.1623,0.48,14.977
base,10000,5,20275910,webhook,10000,10000,10000,0.0,4.0,25.0,32.0,0.1711,0.4833,152.618
alto,100,5,20266010,webhook,100,100,100,0.0,5.0,23.2,32.0,0.3778,0.4118,2.213
alto,1000,5,20266910,webhook,1000,1000,1000,0.0,5.0,22.0,33.0,0.3479,0.4214,22.008
alto,10000,5,20275910,webhook,10000,10000,10000,0.0,5.0,24.0,57.0,0.2884,0.46,245.443
baixo,10000,6,20276910,webhook,10000,10000,10000,0.0,5.0,23.0,33.0,0.0991,0.4849,223.346
baixo,1000,6,20267910,webhook,1000,1000,1000,0.0,5.0,23.0,32.0,0.1013,0.5,22.184
baixo,100,6,20267010,webhook,100,100,100,0.0,5.0,22.0,31.0,0.1212,0.5,2.262
base,10000,6,20276910,webhook,10000,10000,10000,0.0,5.0,22.0,41.0,0.1643,0.4868,220.502
base,1000,6,20267910,webhook,1000,1000,1000,0.0,4.0,22.0,33.0,0.1622,0.5258,20.735
base,100,6,20267010,webhook,100,100,100,0.0,5.0,21.05,29.0,0.1587,0.5,2.225
alto,10000,6,20276910,webhook,10000,10000,10000,0.0,5.0,24.0,34.0,0.2922,0.4891,219.374
alto,1000,6,20267910,webhook,1000,1000,1000,0.0,5.0,22.0,33.0,0.2955,0.4965,20.699
alto,100,6,20267010,webhook,100,100,100,0.0,5.0,26.05,32.0,0.32,0.3125,2.226
baixo,100,7,20268010,webhook,100,100,100,0.0,5.0,21.05,28.0,0.1452,0.4444,2.017
baixo,1000,7,20268910,webhook,1000,1000,1000,0.0,5.0,23.0,31.0,0.0827,0.3704,21.8
baixo,10000,7,20277910,webhook,10000,10000,10000,0.0,5.0,23.0,67.0,0.0954,0.4803,225.284
base,100,7,20268010,webhook,100,100,100,0.0,5.0,25.05,30.0,0.2203,0.3846,2.161
base,1000,7,20268910,webhook,1000,1000,1000,0.0,5.0,21.0,32.0,0.1689,0.4653,21.09
base,10000,7,20277910,webhook,10000,10000,10000,0.0,5.0,23.0,34.0,0.1627,0.4684,219.173
alto,100,7,20268010,webhook,100,100,100,0.0,5.0,21.0,26.0,0.3061,0.2,2.121
alto,1000,7,20268910,webhook,1000,1000,1000,0.0,4.0,25.0,31.0,0.3048,0.4726,15.58
