scenario,load,rep,seed,emitted,persisted,loss_rate,lat_p50_ms,lat_p95_ms,lat_max_ms,click_of_sent,submit_of_click,elapsed_s
baixo,100,1,20262010,100,100,0.0,0.0,1.0,1.0,0.1045,0.5714,0.375
baixo,1000,1,20262910,1000,1000,0.0,0.0,1.0,2.0,0.106,0.4925,3.926
baixo,10000,1,20271910,10000,10000,0.0,1.0,3.0,52.0,0.1021,0.4544,64.036
base,100,1,20262010,100,100,0.0,2.0,3.0,4.0,0.1231,0.625,0.946
base,1000,1,20262910,1000,1000,0.0,2.0,4.0,21.0,0.1689,0.51,8.849
base,10000,1,20271910,10000,10000,0.0,1.0,3.0,46.0,0.1743,0.4629,81.176
alto,100,1,20262010,100,100,0.0,1.0,2.0,6.0,0.2745,0.4286,0.598
alto,1000,1,20262910,1000,1000,0.0,1.0,3.0,45.0,0.306,0.4564,7.131
alto,10000,1,20271910,10000,10000,0.0,1.0,2.0,56.0,0.2904,0.4689,66.204
baixo,10000,2,20272910,10000,10000,0.0,1.0,2.0,64.0,0.097,0.4919,58.13
baixo,1000,2,20263910,1000,1000,0.0,1.0,2.0,13.0,0.0896,0.4655,5.655
baixo,100,2,20263010,100,100,0.0,1.0,2.0,7.0,0.0794,0.6,0.63
base,10000,2,20272910,10000,10000,0.0,1.0,2.0,45.0,0.1625,0.4816,56.796
base,1000,2,20263910,1000,1000,0.0,1.0,2.0,39.0,0.1708,0.466,5.566
base,100,2,20263010,100,100,0.0,1.0,2.0,13.0,0.2034,0.4167,0.549
alto,10000,2,20272910,10000,10000,0.0,1.0,2.0,50.0,0.2993,0.464,57.167
alto,1000,2,20263910,1000,1000,0.0,1.0,2.0,33.0,0.3041,0.4698,5.205
alto,100,2,20263010,100,100,0.0,1.0,2.0,3.0,0.22,0.4545,0.682
baixo,100,3,20264010,100,100,0.0,1.0,5.0,8.0,0.0735,0.6,0.836
baixo,1000,3,20264910,1000,1000,0.0,1.0,2.0,8.0,0.0926,0.4262,5.681
baixo,10000,3,20273910,10000,10000,0.0,1.0,2.0,45.0,0.0995,0.4905,55.331
base,100,3,20264010,100,100,0.0,0.0,1.0,2.0,0.1774,0.4545,0.367
base,1000,3,20264910,1000,1000,0.0,1.0,3.0,35.0,0.1596,0.4592,5.932
base,10000,3,20273910,10000,10000,0.0,1.0,3.0,39.0,0.1632,0.468,63.3
alto,100,3,20264010,100,100,0.0,1.0,2.0,7.0,0.3636,0.4375,0.613
alto,1000,3,20264910,1000,1000,0.0,1.0,2.0,43.0,0.3064,0.4595,4.736
alto,10000,3,20273910,10000,10000,0.0,1.0,2.0,91.0,0.2952,0.4584,52.837
baixo,10000,4,20274910,10000,10000,0.0,1.0,2.0,68.0,0.0953,0.4844,63.052
baixo,1000,4,20265910,1000,1000,0.0,1.0,4.0,35.0,0.1086,0.5294,7.332
baixo,100,4,20265010,100,100,0.0,2.0,3.0,4.0,0.0758,0.6,0.91
base,10000,4,20274910,10000,10000,0.0,1.0,3.0,50.0,0.1604,0.4943,68.672
base,1000,4,20265910,1000,1000,0.0,1.0,3.0,21.0,0.177,0.5094,6.483
base,100,4,20265010,100,100,0.0,1.0,2.05,4.0,0.1429,0.4444,0.668
alto,10000,4,20274910,10000,10000,0.0,1.0,2.0,37.0,0.3049,0.4707,59.555
alto,1000,4,20265910,1000,1000,0.0,1.0,2.0,11.0,0.3018,0.5102,5.025
alto,100,4,20265010,100,100,0.0,1.0,2.0,2.0,0.2917,0.5714,0.544
baixo,100,5,20266010,100,100,0.0,1.0,2.0,6.0,0.125,0.125,0.596
baixo,1000,5,20266910,1000,1000,0.0,1.0,2.0,15.0,0.0965,0.4762,5.573
baixo,10000,5,20275910,10000,10000,0.0,1.0,2.0,65.0,0.0985,0.4833,52.168
base,100,5,20266010,100,100,0.0,1.0,2.0,3.0,0.283,0.5333,0.478
